year,city,country,avg_temp
1840,Hanoi,Vietnam,21.00
1841,Hanoi,Vietnam,21.30
1842,Hanoi,Vietnam,21.16
1843,Hanoi,Vietnam,21.26
1844,Hanoi,Vietnam,20.78
1845,Hanoi,Vietnam,20.68
1846,Hanoi,Vietnam,21.25
1847,Hanoi,Vietnam,20.83
1848,Hanoi,Vietnam,20.73
1849,Hanoi,Vietnam,20.94
1850,Hanoi,Vietnam,21.11
1851,Hanoi,Vietnam,21.26
1852,Hanoi,Vietnam,21.12
1853,Hanoi,Vietnam,21.51
1854,Hanoi,Vietnam,21.45
1855,Hanoi,Vietnam,21.10
1856,Hanoi,Vietnam,20.69
1857,Hanoi,Vietnam,20.89
1858,Hanoi,Vietnam,21.10
1859,Hanoi,Vietnam,21.24
1860,Hanoi,Vietnam,21.12
1861,Hanoi,Vietnam,20.95
1862,Hanoi,Vietnam,20.48
1863,Hanoi,Vietnam,20.90
1864,Hanoi,Vietnam,20.77
1865,Hanoi,Vietnam,21.41
1866,Hanoi,Vietnam,21.24
1867,Hanoi,Vietnam,21.40
1868,Hanoi,Vietnam,21.53
1869,Hanoi,Vietnam,21.18
1870,Hanoi,Vietnam,21.35
1871,Hanoi,Vietnam,21.30
1872,Hanoi,Vietnam,21.47
1873,Hanoi,Vietnam,21.32
1874,Hanoi,Vietnam,21.40
1875,Hanoi,Vietnam,21.10
1876,Hanoi,Vietnam,20.90
1877,Hanoi,Vietnam,21.36
1878,Hanoi,Vietnam,21.69
1879,Hanoi,Vietnam,21.55
1880,Hanoi,Vietnam,20.99
1881,Hanoi,Vietnam,21.27
1882,Hanoi,Vietnam,21.18
1883,Hanoi,Vietnam,20.83
1884,Hanoi,Vietnam,20.57
1885,Hanoi,Vietnam,20.88
1886,Hanoi,Vietnam,20.95
1887,Hanoi,Vietnam,21.03
1888,Hanoi,Vietnam,21.43
1889,Hanoi,Vietnam,21.46
1890,Hanoi,Vietnam,21.54
1891,Hanoi,Vietnam,21.41
1892,Hanoi,Vietnam,20.70
1893,Hanoi,Vietnam,20.68
1894,Hanoi,Vietnam,21.15
1895,Hanoi,Vietnam,21.35
1896,Hanoi,Vietnam,21.32
1897,Hanoi,Vietnam,21.50
1898,Hanoi,Vietnam,21.47
1899,Hanoi,Vietnam,21.15
1900,Hanoi,Vietnam,21.21
1901,Hanoi,Vietnam,21.38
1902,Hanoi,Vietnam,22.07
1903,Hanoi,Vietnam,21.07
1904,Hanoi,Vietnam,21.33
1905,Hanoi,Vietnam,21.22
1906,Hanoi,Vietnam,21.71
1907,Hanoi,Vietnam,21.30
1908,Hanoi,Vietnam,21.06
1909,Hanoi,Vietnam,21.43
1910,Hanoi,Vietnam,21.16
1911,Hanoi,Vietnam,21.65
1912,Hanoi,Vietnam,21.39
1913,Hanoi,Vietnam,21.14
1914,Hanoi,Vietnam,22.07
1915,Hanoi,Vietnam,21.90
1916,Hanoi,Vietnam,21.07
1917,Hanoi,Vietnam,20.67
1918,Hanoi,Vietnam,21.11
1919,Hanoi,Vietnam,21.80
1920,Hanoi,Vietnam,21.60
1921,Hanoi,Vietnam,21.55
1922,Hanoi,Vietnam,21.72
1923,Hanoi,Vietnam,22.04
1924,Hanoi,Vietnam,21.81
1925,Hanoi,Vietnam,21.08
1926,Hanoi,Vietnam,21.46
1927,Hanoi,Vietnam,21.54
1928,Hanoi,Vietnam,21.51
1929,Hanoi,Vietnam,21.57
1930,Hanoi,Vietnam,21.42
1931,Hanoi,Vietnam,22.02
1932,Hanoi,Vietnam,21.21
1933,Hanoi,Vietnam,21.55
1934,Hanoi,Vietnam,21.13
1935,Hanoi,Vietnam,22.04
1936,Hanoi,Vietnam,21.28
1937,Hanoi,Vietnam,22.04
1938,Hanoi,Vietnam,21.89
1939,Hanoi,Vietnam,21.67
1940,Hanoi,Vietnam,21.77
1941,Hanoi,Vietnam,22.21
1942,Hanoi,Vietnam,22.24
1943,Hanoi,Vietnam,21.98
1944,Hanoi,Vietnam,21.94
1945,Hanoi,Vietnam,21.60
1946,Hanoi,Vietnam,22.91
1947,Hanoi,Vietnam,21.90
1948,Hanoi,Vietnam,22.01
1949,Hanoi,Vietnam,21.98
1950,Hanoi,Vietnam,21.90
1951,Hanoi,Vietnam,21.72
1952,Hanoi,Vietnam,22.34
1953,Hanoi,Vietnam,22.05
1954,Hanoi,Vietnam,21.99
1955,Hanoi,Vietnam,21.61
1956,Hanoi,Vietnam,21.45
1957,Hanoi,Vietnam,21.93
1958,Hanoi,Vietnam,21.88
1959,Hanoi,Vietnam,21.82
1960,Hanoi,Vietnam,22.05
1961,Hanoi,Vietnam,22.03
1962,Hanoi,Vietnam,21.61
1963,Hanoi,Vietnam,21.88
1964,Hanoi,Vietnam,21.74
1965,Hanoi,Vietnam,22.09
1966,Hanoi,Vietnam,22.38
1967,Hanoi,Vietnam,21.32
1968,Hanoi,Vietnam,21.67
1969,Hanoi,Vietnam,21.88
1970,Hanoi,Vietnam,21.60
1971,Hanoi,Vietnam,21.29
1972,Hanoi,Vietnam,21.86
1973,Hanoi,Vietnam,22.24
1974,Hanoi,Vietnam,21.54
1975,Hanoi,Vietnam,21.96
1976,Hanoi,Vietnam,21.35
1977,Hanoi,Vietnam,21.75
1978,Hanoi,Vietnam,21.81
1979,Hanoi,Vietnam,22.08
1980,Hanoi,Vietnam,22.08
1981,Hanoi,Vietnam,22.06
1982,Hanoi,Vietnam,21.86
1983,Hanoi,Vietnam,21.56
1984,Hanoi,Vietnam,21.36
1985,Hanoi,Vietnam,21.46
1986,Hanoi,Vietnam,21.90
1987,Hanoi,Vietnam,22.71
1988,Hanoi,Vietnam,21.78
1989,Hanoi,Vietnam,21.72
1990,Hanoi,Vietnam,22.23
1991,Hanoi,Vietnam,22.16
1992,Hanoi,Vietnam,21.49
1993,Hanoi,Vietnam,21.75
1994,Hanoi,Vietnam,21.98
1995,Hanoi,Vietnam,21.51
1996,Hanoi,Vietnam,21.32
1997,Hanoi,Vietnam,21.92
1998,Hanoi,Vietnam,22.65
1999,Hanoi,Vietnam,22.07
2000,Hanoi,Vietnam,21.80
2001,Hanoi,Vietnam,21.79
2002,Hanoi,Vietnam,22.13
2003,Hanoi,Vietnam,22.62
2004,Hanoi,Vietnam,21.79
2005,Hanoi,Vietnam,21.91
2006,Hanoi,Vietnam,22.37
2007,Hanoi,Vietnam,22.26
2008,Hanoi,Vietnam,21.37
2009,Hanoi,Vietnam,22.59
2010,Hanoi,Vietnam,22.57
2011,Hanoi,Vietnam,21.03
2012,Hanoi,Vietnam,22.09
2013,Hanoi,Vietnam,23.10
